algorithm,category,file,n,m,time,exitcode,output
p1,dense,dense/dense_01.txt,10,31,0.0012852340000790718,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/dense/dense_01.txt
p1,dense,dense/dense_02.txt,15,68,0.0010838950001925696,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/dense/dense_02.txt
p1,dense,dense/dense_03.txt,12,52,0.0011998290001429268,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/dense/dense_03.txt
p1,dense,dense/dense_04.txt,20,114,0.0012633569999707106,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/dense/dense_04.txt
p1,dense,dense/dense_05.txt,8,23,0.001120762000027753,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/dense/dense_05.txt
p1,dense,dense/dense_06.txt,18,107,0.0013026999999965483,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/dense/dense_06.txt
p1,dense,dense/dense_07.txt,14,68,0.0012364079998405941,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/dense/dense_07.txt
p1,dense,dense/dense_08.txt,16,81,0.0012161849999756669,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/dense/dense_08.txt
p1,dense,dense/dense_09.txt,22,143,0.0012926459999107465,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/dense/dense_09.txt
p1,dense,dense/dense_10.txt,25,165,0.0013344999997570994,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/dense/dense_10.txt
p1,highly_connected,highly_connected/highly_connected_01.txt,5,10,0.0011868259998664143,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/highly_connected/highly_connected_01.txt
p1,highly_connected,highly_connected/highly_connected_02.txt,7,21,0.0011322459999973944,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/highly_connected/highly_connected_02.txt
p1,highly_connected,highly_connected/highly_connected_03.txt,9,17,0.0008727300000828109,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/highly_connected/highly_connected_03.txt
p1,highly_connected,highly_connected/highly_connected_04.txt,25,40,0.0008206420002352388,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/highly_connected/highly_connected_04.txt
p1,highly_connected,highly_connected/highly_connected_05.txt,12,22,0.0026597720002428105,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/highly_connected/highly_connected_05.txt
p1,highly_connected,highly_connected/highly_connected_06.txt,7,12,0.002329973000087193,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/highly_connected/highly_connected_06.txt
p1,highly_connected,highly_connected/highly_connected_07.txt,10,15,0.0010478070003046014,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/highly_connected/highly_connected_07.txt
p1,highly_connected,highly_connected/highly_connected_08.txt,20,120,0.0009711309999147488,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/highly_connected/highly_connected_08.txt
p1,highly_connected,highly_connected/highly_connected_09.txt,15,19,0.0008092240000223683,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/highly_connected/highly_connected_09.txt
p1,highly_connected,highly_connected/highly_connected_10.txt,30,83,0.0008748089999244257,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/highly_connected/highly_connected_10.txt
p1,large,large/large_01.txt,1000,1500,0.0028787240003111947,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/large/large_01.txt
p1,large,large/large_02.txt,1200,1800,0.00368898899978376,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/large/large_02.txt
p1,large,large/large_03.txt,900,2500,0.0046561750000364555,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/large/large_03.txt
p1,large,large/large_04.txt,1100,2000,0.004765202999806206,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/large/large_04.txt
p1,large,large/large_05.txt,1000,3000,0.005590792000020883,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/large/large_05.txt
p1,large,large/large_06.txt,1300,4000,0.00581765600009021,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/large/large_06.txt
p1,large,large/large_07.txt,950,1500,0.003912519999630604,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/large/large_07.txt
p1,large,large/large_08.txt,1150,3500,0.007377294999969308,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/large/large_08.txt
p1,large,large/large_09.txt,1000,2000,0.004800361999969027,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/large/large_09.txt
p1,large,large/large_10.txt,1250,5000,0.006521266999698128,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/large/large_10.txt
p1,real_world,real_world/eredos.txt,6100,7515,0.017983684999762772,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/real_world/eredos.txt
p1,real_world,real_world/facebook.txt,4039,88234,0.09747676799997862,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/real_world/facebook.txt
p1,real_world,real_world/gemsec_Deezer_hr.txt,54573,498202,0.6045295810004063,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/real_world/gemsec_Deezer_hr.txt
p1,real_world,real_world/gemsec_Deezer_hu.txt,47538,222887,0.2543359309997868,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/real_world/gemsec_Deezer_hu.txt
p1,real_world,real_world/gemsec_Deezer_ro.txt,41773,125826,0.15766213699998843,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/real_world/gemsec_Deezer_ro.txt
p1,real_world,real_world/gemsec_facebook_artist.txt,50515,819306,0.9840375819999281,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/real_world/gemsec_facebook_artist.txt
p1,real_world,real_world/gemsec_facebook_athletes.txt,13866,86858,0.10074961400005122,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/real_world/gemsec_facebook_athletes.txt
p1,real_world,real_world/gemsec_facebook_company.txt,14113,52310,0.06475144399973942,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/real_world/gemsec_facebook_company.txt
p1,real_world,real_world/gemsec_facebook_government.txt,7057,89455,0.09266174000003957,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/real_world/gemsec_facebook_government.txt
p1,real_world,real_world/gemsec_facebook_newsites.txt,27917,206259,0.22418542700006583,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p1/real_world/gemsec_facebook_newsites.txt
