
--- Tarjan-Vishkin Algorithm's results ---
Total Biconnected Components (BCCs) found: 223
BCC 1 (Bridge): {(560, 1160)}
BCC 2 (Bridge): {(206, 747)}
BCC 3 (Bridge): {(32, 752)}
BCC 4 (Bridge): {(138, 999)}
BCC 5 (Bridge): {(792, 1114)}
BCC 6 (Bridge): {(122, 645)}
BCC 7 (Bridge): {(312, 1128)}
BCC 8 (Bridge): {(847, 1156)}
BCC 9 (Bridge): {(509, 729)}
BCC 10 (Bridge): {(536, 1011)}
BCC 11 (Bridge): {(126, 1112)}
BCC 12 (Bridge): {(323, 1145)}
BCC 13 (Bridge): {(630, 1009)}
BCC 14 (Bridge): {(98, 739)}
BCC 15 (Bridge): {(640, 806)}
BCC 16 (Bridge): {(0, 711)}
BCC 17 (Bridge): {(529, 1060)}
BCC 18 (Bridge): {(681, 821)}
BCC 19 (Bridge): {(390, 608)}
BCC 20 (Bridge): {(188, 250)}
BCC 21 (Bridge): {(656, 1029)}
BCC 22 (Bridge): {(300, 427)}
BCC 23 (Bridge): {(402, 968)}
BCC 24 (Bridge): {(282, 643)}
BCC 25 (Bridge): {(89, 99)}
BCC 26 (Bridge): {(43, 626)}
BCC 27 (Bridge): {(54, 263)}
BCC 28 (Bridge): {(322, 837)}
BCC 29 (Bridge): {(298, 1153)}
BCC 30 (Bridge): {(170, 824)}
BCC 31 (Bridge): {(479, 774)}
BCC 32 (Bridge): {(327, 509)}
BCC 33 (Bridge): {(452, 517)}
BCC 34 (Bridge): {(193, 540)}
BCC 35 (Bridge): {(117, 258)}
BCC 36 (Bridge): {(784, 814)}
BCC 37 (Bridge): {(453, 835)}
BCC 38 (Bridge): {(552, 957)}
BCC 39 (Bridge): {(873, 1129)}
BCC 40 (Bridge): {(374, 519)}
BCC 41 (Bridge): {(189, 715)}
BCC 42 (Bridge): {(117, 467)}
BCC 43 (Bridge): {(232, 942)}
BCC 44 (Bridge): {(719, 916)}
BCC 45 (Bridge): {(411, 1070)}
BCC 46 (Bridge): {(554, 708)}
BCC 47 (Bridge): {(291, 864)}
BCC 48 (Bridge): {(391, 951)}
BCC 49 (Bridge): {(674, 1131)}
BCC 50 (Bridge): {(305, 632)}
BCC 51 (Bridge): {(703, 1050)}
BCC 52 (Bridge): {(614, 834)}
BCC 53 (Bridge): {(17, 206)}
BCC 54 (Bridge): {(422, 520)}
BCC 55 (Bridge): {(375, 709)}
BCC 56 (Bridge): {(195, 333)}
BCC 57 (Bridge): {(356, 695)}
BCC 58 (Bridge): {(679, 1056)}
BCC 59 (Bridge): {(718, 760)}
BCC 60 (Bridge): {(184, 826)}
BCC 61 (Bridge): {(546, 833)}
BCC 62 (Bridge): {(51, 301)}
BCC 63 (Bridge): {(478, 490)}
BCC 64 (Bridge): {(487, 984)}
BCC 65 (Bridge): {(690, 818)}
BCC 66 (Bridge): {(566, 881)}
BCC 67 (Bridge): {(49, 362)}
BCC 68 (Bridge): {(91, 1038)}
BCC 69 (Bridge): {(328, 721)}
BCC 70 (Bridge): {(705, 1030)}
BCC 71 (Bridge): {(42, 457)}
BCC 72 (Bridge): {(444, 994)}
BCC 73 (Bridge): {(563, 838)}
BCC 74 (Bridge): {(372, 718)}
BCC 75 (Bridge): {(149, 416)}
BCC 76 (Bridge): {(34, 615)}
BCC 77 (Bridge): {(590, 917)}
BCC 78 (Bridge): {(921, 1053)}
BCC 79 (Bridge): {(716, 1034)}
BCC 80 (Bridge): {(0, 525)}
BCC 81 (Bridge): {(503, 772)}
BCC 82 (Bridge): {(305, 500)}
BCC 83 (Bridge): {(492, 1000)}
BCC 84 (Bridge): {(533, 628)}
BCC 85 (Bridge): {(101, 152)}
BCC 86 (Bridge): {(227, 1051)}
BCC 87 (Bridge): {(497, 1046)}
